08/08/2023 09:00,Uppingham,Benjamin Moyer,"Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Flavoured hot chocolate - Vanilla - 2.60",5.2,CASH,
08/08/2023 09:01,Uppingham,Angela Tran,Regular Speciality Tea - Green - 1.30,1.3,CARD,5195359195933485
08/08/2023 09:02,Uppingham,Alfred Reid,Large Flavoured latte - Caramel - 2.85,2.85,CARD,5944047325906952
08/08/2023 09:03,Uppingham,Rosetta Gamez,Large Speciality Tea - Peppermint - 1.60,1.6,CARD,3757899884828622
08/08/2023 09:04,Uppingham,Diane Natalie,"Large Flavoured latte - Hazelnut - 2.85, Large Hot chocolate - 2.90, Large Flavoured latte - Caramel - 2.85",8.6,CARD,8550447073259263
08/08/2023 09:05,Uppingham,Andrew Finney,Regular Speciality Tea - Peppermint - 1.30,1.3,CARD,5554579179472810
08/08/2023 09:06,Uppingham,Bette Ragan,Large Mocha - 2.70,2.7,CARD,4419650536031918
08/08/2023 09:07,Uppingham,Barb Rogers,"Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Green - 1.60, Regular Smoothies - Berry Beautiful - 2.00",4.9,CARD,4194909548204948
08/08/2023 09:08,Uppingham,Lupe Clayton,"Large Smoothies - Berry Beautiful - 2.50, Large Flavoured latte - Hazelnut - 2.85",5.35,CARD,9377404758807792
08/08/2023 09:09,Uppingham,Gerald Kent,"Regular Speciality Tea - Peppermint - 1.30, Regular Hot chocolate - 2.20, Regular Flavoured latte - Hazelnut - 2.55",6.05,CASH,
08/08/2023 09:10,Uppingham,Kenneth Burgess,"Regular Flavoured latte - Caramel - 2.55, Regular Mocha - 2.30, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Hot chocolate - 2.90, Large Mocha - 2.70",13.05,CARD,6243049938597693
08/08/2023 09:11,Uppingham,Thomas Bissonnette,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured latte - Caramel - 2.85, Regular Hot chocolate - 2.20, Large Smoothies - Berry Beautiful - 2.50, Regular Flavoured latte - Caramel - 2.55",12.7,CARD,8529562779621599
08/08/2023 09:12,Uppingham,Vincent Mason,"Large Flavoured latte - Caramel - 2.85, Large Speciality Tea - Green - 1.60",4.45,CARD,5975683223149920
08/08/2023 09:13,Uppingham,Carole Brothers,Large Flavoured latte - Hazelnut - 2.85,2.85,CASH,
08/08/2023 09:14,Uppingham,Mary Irish,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Mocha - 2.70, Large Speciality Tea - Green - 1.60, Regular Flavoured latte - Caramel - 2.55, Large Red Label tea - 1.80",11.25,CARD,2004439217717392
08/08/2023 09:15,Uppingham,Fred Estrada,"Regular Hot chocolate - 2.20, Regular Hot chocolate - 2.20",4.4,CASH,
